review_text,Review_Angles
"I joined my friends world and hes lvl 44, I find a shiny in less than an hour and he instantly kills it.","Multiplayer/Co-op Experience, Fairness and Griefing, Progression and Level Balance"
 Too much like Ark. I hated Ark,"Comparative Franchise Perspective, Originality and Distinctiveness, Personal Enjoyment"
Felbat #1,Comparative Ranking Perspective
"Guns don't kill people, Uh-uh, Pals kill people... with guns.","Narrative Theme, Humorous Tone"
"The update to the way you can control your pals at base made this game a solid 6/10, to a 9/10 for me. Amazing game, and fun to join in at any stage!","Gameplay Mechanics, Update Impact, Overall Enjoyment"
wawa,Overall Experience
"Ok guys... At this point, just let pals no-clip through everything at the base so they can reach the machines, they already do it half the time anyway. Things that used to be reachable, are now unreachable. Somehow it's worse than day 1, it really kills the experience.

With the amount of money they made from this game, I'm surprised nobody hired anyone that knows what they're doing to work-out any of the game-breaking indie jank.","Technical Stability & Bugs, User Experience & Accessibility, Developer Competence & Resource Use"
Its got a long ways to go but is a lot of fun as is!,"Gameplay Enjoyment, Development Progress"
"It feels like cheap copyright theft. I don't like it. I don't understand why it's so popular but it's all scuffed. The lag and desync is horrific. The ""AI"" is scuffed. it's like lipstick on a pig with a grind fest for pal improvement. The combat is really bad, the base building is insanely basic. There is no homogeneous theme to the art style across the assets, pals, character, world etc. You put down like a Victorian cabinet next to a 90's high school locker. Going back to AI...scuffed is too nice. It's really stinking bad. The pal copies your movement, you can't command them to fight, you have no control and the enemy AI just sort of stands there, aware of nothing and dies.","Technical Performance & AI Behavior, Core Gameplay & Combat Design, Art Style Consistency & Aesthetic Cohesion"
heck yea,"Overall Satisfaction, Emotional Response"
Very fun game so far. Can't wait for PvP.,"Gameplay Enjoyment, Multiplayer & PvP Features"
"Lots of fun both solo and with friends, amazing price point!","Gameplay Enjoyment, Social/Multiplayer Experience, Consumer Value"
"I let a dragon get freaky with a depressed cat and got a turtle

10/10",Player Enjoyment Perspective
gud,Overall Satisfaction Perspective
"Palworld, an innovative and immersive gaming experience, offers several compelling reasons to dive into its world. Firstly, its unique blend of elements from the popular ""creature-collecting"" genre and the sandbox survival genre provides players with a refreshing and dynamic gameplay experience. The ability to capture and train adorable creatures known as ""Pals,"" each with their own distinct abilities and traits, adds depth and strategy to the game. Additionally, the game's emphasis on building and crafting within a vibrant open-world environment encourages creativity and exploration. Furthermore, the incorporation of multiplayer features allows for cooperative play with friends, fostering a sense of camaraderie and teamwork. With its charming graphics, engaging gameplay mechanics, and multiplayer options, Palworld offers an exciting and enjoyable gaming experience for players of all ages.","Gameplay Mechanics & Depth, Genre Innovation & Blend, Multiplayer & Social Experience"
666,Overall Satisfaction
its like ark but with  pocket Monster  pets to farm and fight,"Gameplay Comparison, Core Mechanics & Systems"
awesome...,Overall Satisfaction
Bro I can give a monkey a machine gun this game is amazing.,"Gameplay Freedom, Fun Factor"
Runs great on the Steam Deck looking forward to future updates,"Platform Performance (Steam Deck), Future Updates & Support"
Fun,"Overall Enjoyment, Entertainment Value"
yes,Overall Satisfaction
"buggy, but a TON of fun","Technical Stability, Fun Factor"
Very cutesy. very fun,"Aesthetic & Tone, Overall Enjoyment"
love it best game,Player Enjoyment & Satisfaction
Hell yes.,"Overall Satisfaction, Emotional Response"
,Unclear Perspective
"so fun, but is have a little bug when you swimming, and stuck on the rockl","Gameplay Enjoyment, Technical Stability"
addictingly fun,Gameplay Enjoyment
nice,"Overall Satisfaction, User Experience Perspective"
A very fun game even in early access! Still worth the money and you can look forward to future content,"Price & Value, Early Access State, Fun Factor"
it's aight. proper survival games like terraria are much better. proper monster collectors like coromon or temtem (or classic pokemon games) are much better. mixing these was not a great idea...,"Genre Comparison Perspective, Gameplay Design & Cohesion"
These MFs getting SUED! Get yer game before it's gone!,"Product Availability / FOMO, Legal / Business Context"
"butcher sheep, they deserve it",Moral/Ethical Perspective
GameFreaks could never.,"Developer Comparison Perspective, Franchise Quality Benchmark"
"Very fun, and with quite some unique characteristics.","Enjoyment & Fun Factor, Originality & Uniqueness"
"Insane fun game not gonna lie, it's like ARK just with Pokemons (Pals) and Rimworld your Pals work for you they gather stone, wood etc and it's looks funny as hell in game lol, just go and buy it and see with your own eyes. You can build your base, catch a lot of Pals 111 atm if i'm not wrong, fight againts bosses and catch them too lol etc, i only found a  small bug which is pathfinding for pals, but who cares it's just a fuckin early acces game, go and buy it and play it fast as possible and if you don't like it, you can still refund, so win win","Gameplay & Mechanics, Consumer Value & Purchase Justification, Technical Stability (Early Access)"
"a guy shot at me with a handgun, and now he works breaking rocks for me. Top notch. 10/10","Narrative Perspective, Emotional Satisfaction"
POGGERS,"Emotional Enjoyment, Overall Satisfaction"
Wow,"Overall Experience, Emotional Response"
"A survival crafting game where you catch pocket monsters called Pals and explore Palpago islands. As off now there is no real objective other than catching all the different kinds of pals, fight the 6 bosses of the game, and battle 3 different raid pals and lastly explore an oil rig floating on the sea.

Graphics - 10/10 (Game is too laggy for my pc but I am willing to do a pc upgrade to play at better fps
Pocket Monster originality with their designs - 9/10 (Every creature is carefully designed from animals or things and even culture from in real life! It is missing a point because of 2 humanoid pals that keeps on bullying me or the pal I want to catch)
Music - 7/10 (Not enough music in this game, devs please add some biome and environment music instead of just battle music)
Sounds and effects - 10/10 (Cute pals gives bonus points to me, especially Flambelle sounds)

Overall score to the game - 8/10 (Still missing a few things like overworld music and there is no Flambelle Noct/Aqua as of now)

Devs please add Flambelle Noct/Aqua and maybe more subspecies instead of just 1. Flambelles can have noct and aqua, Dazzis can have a water or rain varriant, Daedream can have a normal varriant, We need more cute/kawaii pals in the game but out of all the new or subspecies of cute pals I want to see is Flambelle Noct/Aqua.","Gameplay & Objectives, Visual & Character Design, Audio Design"
"how is this game not even out for a full year and its getting a crossover with terraria :skull:
","Release Timing & Development Priorities, Crossover & Marketing Decisions"
"This is game is fun. I have a high expectation to see in the future. However, I still hate the bug where out of sudden i feel under the rock, and the teleporting lag glitch like when i am sprinting it like pulls me backward.","Gameplay Enjoyment, Technical Stability and Performance, Future Expectations and Potential"
"survival crafting, creature collection and guns","Gameplay Mechanics, Genre & Feature Set"
Definitly worth buying if your pc can handle it,"Consumer Value, Performance Requirements"
"It's not Pokemon RPG. It's closer to a spin of Ark: Survival Evolved, except your ""Pals"" are able to do automated processes to help you gather resources, build things, and etc. The large number of pals available and their each, own unique abilities is cool. Don't get me wrong, the game needs a ton of polish and bug fixes and more content, but for a first-patch early access game, if the developers don't get greedy and lazy, we might have an all-time great on our hands for the Open World survival genre.","Gameplay & Genre Comparison, Technical Polish & Content Depth, Future Potential & Developer Practices"
its just super fun! but not really for lower end gaming laptops. still struggles with all settings adjusted,"Gameplay Enjoyment, Technical Performance & Optimization"
i skullfu** the little monkeys and make em work the fields,"Offensive / Inappropriate Content, Toxicity and Harassment Perspective"
"I find it a bit challenging to comprehend why some individuals express such enthusiasm for this game. In my opinion, it's decent—neither outstanding nor subpar.","Overall Enjoyment, Expectation vs Hype, Comparative Quality"
GOOD GET IT IF U LIKE LEGO FORTNITE MY MOM LIKES THIS GAME,"Target Audience Fit, Overall Enjoyment, Family Appeal"
weeeeee,Emotional Enjoyment Perspective
It's pokemon but better,"Comparative Quality, Franchise Benchmarking"
"HOPEFULLY THEY DON'T FUMBLE THE BAG -

GAME HAS MASSIVE POTENTIAL -
BASE GAME IS AMAZING - 
NO MICROTRANSACTIONS -
LOW PRICE ENTRY -
AAA QUALITY - 
BUGS ARE PRESENT , BUT NOT GAME BREAKING -

WATCH OUT YOU MAY FIND TIME SLIP AWAY ONCE YOU ENTER -

NOW GO CATCH EM ALL!

ALSO - THERE'S GUNS!
","Consumer Value, Gameplay & Addictiveness, Technical Stability"
"i ""accidentally"" caught a human and did some things","Narrative Perspective, Ethical/Emotional Impact"
peak,Overall Experience & Enjoyment
I hate having to type something,User Experience & Usability
Pokemon + ark = palworld,"Comparative Gameplay Perspective, Genre & Inspiration Comparison"
"Monster Collecting + Base Building + Crafting + Survival + 3rd Person Shooter

This should be how this game is described as, not 'Pokemon with Guns'. This game plays nothing like Pokemon, and really the similarities end with the monster collecting. (Let's overlook the design similarities as that's a whole other argument...) You run around the world whacking away at pals and environment alike to get resources together to build your base and raise your army of slav... i mean pals! You then have your pals do the mundane chores around your base like gathering, cooking, item creation, etc. As you level up and unlock new technologies, you will grow out your base in not only size and function, but also aesthetic looks. But do be careful, for one of the several npc factions might decide to raid your base for funzies. So after you've set up and defended your base, you can finally step back out into the world to find more pals to enslav.. befriend and uncover dungeons to explore and conquer. All this prepares you for the boss tower fights, which is essentially the current end game 'raid' fights.

There's so much more to get into or go over that this review could go on and on. As this is in early access, there are a lot of things that need polishing. I hope the story is expanded upon, maybe see some more cool cut scenes, and the developers holding up their timeline for updates. This game is diamond in the rough that has already captivated millions of players, just imagine what it'll do once it is fully polished.","Gameplay Mechanics & Loop, Genre Framing & Comparisons, Progression & Base-Building Systems"
I really enjoy the game espically being able to change my pals name but I would like to be able to change the colour of my armour and the colour of my Pals but other than that I am really enjoying the game and its leveling up system to unlock new tools and facilities,"Customization Options, Gameplay & Progression, Player Enjoyment"
"you can catch a person.

10/10","Gameplay Mechanics, Novelty and Surprise"
i play this on xbox gamepass as well as here. its a good game  way better than pokemon but impartial as i never really liked pokemon as is.,"Overall Game Quality, Franchise Comparison Perspective"
hey guys did you know that in terms o-,Humor and Meme Reference
,Insufficient Information
good,Overall Consumer Satisfaction
Game is great and lots of fun! Wish you would get achievements if you are playing on someone elses server.,"Gameplay Enjoyment, Multiplayer Experience, Progression & Rewards"
"
It's not Pokemon with Guns, It's Ark with Pokemon.. But good.

It's good. Like, crack good.","Gameplay Comparison, Player Enjoyment/Addictiveness"
it is amazing,"Overall Satisfaction, Perceived Quality"
Instantly addicting. Gimme that Rust x Pokemon action.,"Gameplay Loop, Addictiveness & Engagement, Genre Mashup Appeal"
great game to play with friends,"Social Experience, Multiplayer Enjoyment"
"This game blends the elements of a survival game with both a production automation game like satisfactory, and a monster collecting game.
Before I knew it I had already spent over 40 hours in the game.","Gameplay Mechanics & Genre Blend, Engagement / Time Investment"
Addicting but needs a bit of TLC for certain details like breeding and building.,"Gameplay Enjoyment, Game Systems & Features"
好玩，上瘾,"Gameplay Fun Factor, Player Engagement"
very fun,Player Enjoyment
The Pokemon game we deserve and it doesn't cost 70$.,"Consumer Value/Price, Franchise Satisfaction"
Pokemon.,"Franchise/IP Sentiment, Brand Nostalgia"
"In this tittle you are offered a nice ambiance, rich battle system and a big ass beautifull world to explore.

However it has some major flaws as the building system is really deficitary and pals keep bugging on the game geometry (the bigger the pal the bigger bug).

The dungeons could have some work as they are all the same labyrinthine sad cave.

Grinding is somewhat exaggerated mostly on higher levels even knowing that you can put pals on it.

Overall it's a really good game that still needs some work.

I'm excited to see what the devs will bring us.","Gameplay Mechanics & Systems, Technical Stability & Bugs, Content Variety & World Design"
goat,Overall Experience
This is literally the best game I have ever played. Please buy this game it is better than crack.,"Overall Enjoyment, Addictiveness, Consumer Value"
I realy like the game it's fun and very addicting,"Fun Factor, Player Engagement"
"Super Fun, takes the best from a lot of other games and rolls them into a nice burrito that shoots back.","Fun Factor, Gameplay Mechanics & Variety, Comparative Genre Influence"
i love ensla- i mean lovingly caring for these silly little critters. super excited to see what the finished game will be like,"Player Enjoyment, Humor and Tone, Anticipation for Future Content"
:),Emotional Response
I need more Iron,Resource Availability Perspective
GREAT game highly recommend. Very relaxed gameplay,"Player Enjoyment & Satisfaction, Relaxed Gameplay Experience"
"Good
",Overall Satisfaction
"as my friend once said ""pokemon with guns""","Gameplay Mechanics, Genre & Tone Comparison"
"Ark, Breath of the Wild and Pokémon had a baby. 

For being early access it is very polished and can’t wait to see what they add and change in the future. Potential is extremely high","Gameplay Comparison Perspective, Technical Polish & Stability, Future Potential & Early Access Trajectory"
"The surprise game of the start of the year!

More complete in early access than some AAA games sold at full price.

It's a mix of Ark + Pokémon + Valheim. 

- Some bugs but it's an early access game. 

To encourage dev, go for it. It's a great game and hope the best for the future.","Consumer Value & Pricing, Gameplay & Genre Mix, Early Access Quality & Stability"
good game for reals,"Overall Enjoyment, Consumer Value Perspective"
inb4 the lawsuits,Legal Risk & Liability
"Palworld - where my Pals work harder than my coffee maker on Monday mornings. Forget the 9 to 5 grind; my critters are on the job 24/7, harvesting crops, building structures, and occasionally organising rebellions for better working conditions. Who knew slave labour could be this fluffy and entertaining? 10/10 would recommend.","Gameplay & Automation Loop, Humor & Tone, Ethical/Theme Perspective"
"A good time. Needs cleaning up and more character added for the world feel. But its good enough to play and enjoy, looking forward to it expanding.","Overall Enjoyment, Worldbuilding & Atmosphere, Polish & Content Depth"
Don't listen to the haters. If it looks like a game you'll like then play it. You'll have a good time!,"Player Enjoyment, Audience Fit / Personal Taste"
"I don't know what happened to the game. My PC froze and its force to restart. However, when I logged back in, my world is gone. 21 hours progress just disappeared like this ? Need help to retrieve my world back.","Technical Stability, Progress & Save System"
grab sheep,Gameplay Mechanics
This game is purrrrrfect 11/10 !,"Overall Enjoyment, Consumer Value"
Catch Humans Instead.,"Narrative Concept, Ethical Perspective"
If you like building and catching critters to help you. Play Palworld!,"Gameplay Mechanics, Gameplay Loop"
Good,Overall Satisfaction Perspective
todays subject: slavery,Thematic Content Perspective
Arc mashed with Pokemon!!!!!,"Gameplay Concept, Franchise Comparison"
jjmk,Unclear or Insufficient Content Perspective
"i have no friends to play with , anyone wanna play xD
","Social Experience, Multiplayer Availability"
"I already have like 500+ hrs of this game played on my PS5, got it here to play online for free and boy it brings back sm to do in the game.
","Price & Value Perspective, Replayability & Content Depth, Online Multiplayer Access"
"Very fun and makes me happy!
","User Enjoyment, Emotional Satisfaction"
"Glad the game exceeds my expectation, the game is very fun especially when you have friends to play with. Love the time sink in this game, easily getting myself drowned into it. I can play this game a whole month without getting bored. Literally a 10/10","Social Experience, Replayability & Longevity, Overall Enjoyment"
Very very  very very  very very  very very  very very  very very  very very  very very fun,"Enjoyment Perspective, User Experience"
i love it,"Overall Satisfaction Perspective, Emotional Response Perspective"
"So far, so good.

Ark survival crossed with Pokemon and guns, and unlike ark survival, single player can be fun. this is the game Pokemon fans have been waiting decades for.

no game breaking bugs or glitches so far, i am genuinely excited to see what improvements/additions we get as updates roll out.","Gameplay & Fun Factor, Franchise/Genre Comparison, Technical Stability & Updates"
"Amazing game!
Occasionally getting stuck in the terrain but to be honest, for 26$ I'm fully satisfied","Price/Value Satisfaction, Technical Stability (Bugs/Glitches), Overall Enjoyment/Fun"
