review_text,Review_Angles
"I joined my friends world and hes lvl 44, I find a shiny in less than an hour and he instantly kills it.","Multiplayer Griefing, Shiny Acquisition"
 Too much like Ark. I hated Ark,"Comparative Similarity, Gameplay Resemblance"
Felbat #1,"Consumer Value, Technical Stability"
"Guns don't kill people, Uh-uh, Pals kill people... with guns.","Gameplay Mechanics, Thematic Satire"
"The update to the way you can control your pals at base made this game a solid 6/10, to a 9/10 for me. Amazing game, and fun to join in at any stage!","Gameplay Mechanics, Accessibility, Consumer Value"
wawa,Overall Impression
"Ok guys... At this point, just let pals no-clip through everything at the base so they can reach the machines, they already do it half the time anyway. Things that used to be reachable, are now unreachable. Somehow it's worse than day 1, it really kills the experience.

With the amount of money they made from this game, I'm surprised nobody hired anyone that knows what they're doing to work-out any of the game-breaking indie jank.","Technical Stability, Gameplay Experience, Consumer Value"
Its got a long ways to go but is a lot of fun as is!,"Current Enjoyment, Development Progress"
"It feels like cheap copyright theft. I don't like it. I don't understand why it's so popular but it's all scuffed. The lag and desync is horrific. The ""AI"" is scuffed. it's like lipstick on a pig with a grind fest for pal improvement. The combat is really bad, the base building is insanely basic. There is no homogeneous theme to the art style across the assets, pals, character, world etc. You put down like a Victorian cabinet next to a 90's high school locker. Going back to AI...scuffed is too nice. It's really stinking bad. The pal copies your movement, you can't command them to fight, you have no control and the enemy AI just sort of stands there, aware of nothing and dies.","Technical Stability, AI Quality, Art Style Consistency"
heck yea,Overall Enthusiasm
Very fun game so far. Can't wait for PvP.,"Gameplay Fun, PvP Anticipation"
"Lots of fun both solo and with friends, amazing price point!","Fun Factor, Value for Money"
"I let a dragon get freaky with a depressed cat and got a turtle

10/10","Emergent Humor, Gameplay Fun"
gud,General Satisfaction
"Palworld, an innovative and immersive gaming experience, offers several compelling reasons to dive into its world. Firstly, its unique blend of elements from the popular ""creature-collecting"" genre and the sandbox survival genre provides players with a refreshing and dynamic gameplay experience. The ability to capture and train adorable creatures known as ""Pals,"" each with their own distinct abilities and traits, adds depth and strategy to the game. Additionally, the game's emphasis on building and crafting within a vibrant open-world environment encourages creativity and exploration. Furthermore, the incorporation of multiplayer features allows for cooperative play with friends, fostering a sense of camaraderie and teamwork. With its charming graphics, engaging gameplay mechanics, and multiplayer options, Palworld offers an exciting and enjoyable gaming experience for players of all ages.","Gameplay Innovation, Creative Building, Multiplayer Features"
666,Overall Rating
its like ark but with  pocket Monster  pets to farm and fight,"Comparison to ARK, Pet Farming and Fighting"
awesome...,Consumer Value
Bro I can give a monkey a machine gun this game is amazing.,"Ease of Play, Fun Factor"
Runs great on the Steam Deck looking forward to future updates,"Steam Deck Performance, Future Updates"
Fun,Entertainment Value
yes,Overall Approval
"buggy, but a TON of fun","Technical Stability, Fun Factor"
Very cutesy. very fun,"Cute Aesthetic, Fun Factor"
love it best game,"Overall Enjoyment, Consumer Satisfaction"
Hell yes.,Overall Enthusiasm
,
"so fun, but is have a little bug when you swimming, and stuck on the rockl","Fun Experience, Technical Stability"
addictingly fun,"Fun Factor, Engagement"
nice,General Satisfaction
A very fun game even in early access! Still worth the money and you can look forward to future content,"Gameplay Enjoyment, Consumer Value, Future Content"
it's aight. proper survival games like terraria are much better. proper monster collectors like coromon or temtem (or classic pokemon games) are much better. mixing these was not a great idea...,"Genre Mixing, Survival Gameplay Comparison, Monster Collecting Comparison"
